title,bag_of_words
"Yellow Cab Man, The (1950)",comedy drama romance nan  
Four more years (Fyra år till) (2010),comedy romance cameo actor playing himself actress playing herself real tv show shown in fictional situation  
Hellraiser: Revelations (2011),horror puzzle box bar incest human sacrifice  
Jungle de Ikou (Jungre de Ikou) (1997),action comedy fantasy enormous breasts big breasts breast tv mini series  
Making 'The New World' (2006),documentary making of filmmaking behind the scenes  
"Lost Missile, The (1958)",sci-fi nan  
Cry Wolf (1947),crime drama mystery thriller nan  
Everybody's Acting (1926),drama romance nan  
Imaginaerum (2012),fantasy musical art film snowglobe greatest fear hospitalized person  
Nokas (2010),crime thriller robbery robber male objectification rubber glove  
Budd Boetticher: An American Original (2005) ,documentary nan  
"Footprints of a Spirit, The (Huellas de un espíritu) (1998)",documentary nan  
Division III: Football's Finest (2011),comedy romance coach football college sports trainer  
Rebecca of Sunnybrook Farm (1938),children comedy drama musical nan  
Mark Twain (2001),documentary american history writer mark twain voice over narration  
"Burning Hot Summer, A (Un été brûlant) (2011)",drama female nudity love triangle rome italy cinecitta  
"Kiss for Corliss, A (Almost a Bride) (1949)",comedy nan  
Adventure in Baltimore (1949),comedy drama nan  
Baby Take a Bow (1934),children comedy drama nan  
"Tempest, The (1979)",drama nan  
New Fist of Fury (Xin jing wu men) (1976),action drama nan  
"Killer Meteors, The (Feng yu shuang liu xing) (1976)",action thriller nan  
Shaolin Wooden Men (Shao Lin mu ren xiang) (1976),action nan  
"Sleeping Car Murder, The (Compartiment tueurs) (1965)",drama mystery thriller nan  
Let's Not Get Angry (Ne nous fâchons pas) (1966),comedy crime nan  
Hothead (Coup de tête) (1979),comedy drama nan  
Aftermath (2012),drama thriller nan  
Paperman (2012),animation comedy romance love at first sight boy meets girl skyscraper paper airplane  
To Kill with Intrigue (Jian hua yan yu Jiang Nan) (1977),action drama nan  
Magnificent Bodyguards (Fei du juan yun shan) (1978),action nan  
"Fearless Hyena, The (Xiao quan guai zhao) (1979)",action comedy nan  
Dragon Fist (Long quan) (1979),action drama nan  
Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan) (1980),action comedy nan  
Bank Error in Your Favour (Erreur de la banque en votre faveur) (2009),comedy nan  
Kirikou and the Wild Beast (Kirikou et les bêtes sauvages) (2005),adventure animation children Animation Adventure  
Brooklyn Bridge (1981),documentary nan  
Nativity! (2009),children comedy musical school nativity play christmas  
Dragon Attack (1983),action adventure comedy crime thriller war nan  
Fearless Hyena II (Long teng hu yue) (1983),action nan  
Ghost Voyage (2008),horror thriller nan  
"Peace, Love & Misunderstanding (2011)",drama romance hippie motorcycle new york city manhattan new york city  
Fever (1991),drama romantic triangle rescue kidnapping bound and gagged  
Hecho en México (2012),documentary musical nan  
Hitchcock (2012),drama year 1959 1950s los angeles california studio executive  
Caesar Must Die (Cesare deve morire) (2012),drama italy shakespeare's julius caesar prison high security  
Interceptor (1993),action sci-fi terrorist air force stealth major  
Now Where Did the Seventh Company Get to? (Mais où est donc passée la 7ème compagnie) (1973),action comedy war nan  
Peppermint Soda (Diabolo menthe) (1977),comedy drama nan  
American Roulette (1988),thriller nan  
From Up on Poppy Hill (Kokuriko-zaka kara) (2011),animation drama romance singing studio ghibli 1960s loss of father  
Redline (2009),action animation sci-fi younger version of character nudity topless childhood crush  
Honeymoon (1947),comedy romance nan  
Just Around the Corner (1938),comedy musical nan  
Kathleen (1941),comedy drama romance nan  
Lulu in Berlin (1984),documentary nan  
L'instant et la patience (1994) ,documentary pain reflection death change  
Welcome to the Space Show (Uchû shô e yôkoso) (2010),adventure animation sci-fi directorial debut coming of age boy girl  
Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983),action comedy crime nan  
Purge (Puhdistus) (2012),drama suicide jealous sister male full rear nudity sisters in love with the same man  
"Day He Arrives, The (Book chon bang hyang) (2011)",drama romance piano playing piano kiss male female relationship  
My Lucky Stars (Fuk sing go jiu) (1985),action comedy nan  
Kiss and Tell (1945),comedy nan  
"Yes, But... (Oui, mais...) (2001)",comedy drama romance therapist masturbation ellipsis in title comma in title  
"Money Money Money (L'aventure, c'est l'aventure) (1972)",adventure comedy nan  
"Awful Truth, The  (1925)",comedy nan  
1911 (Xinhai geming) (2011),action adventure drama war mauser c96 pistol mauser pistol mauser chinese history  
"Shaolin Temple, The (Shao Lin Si) (1982)",action nan  
Carol Channing: Larger Than Life (2012),comedy documentary musical diva f rated singing singer  
Memory (2006),drama horror thriller gagged memory killer pineal gland  
Shaolin Temple 3: Martial Arts of Shaolin (Nan bei Shao Lin) (Martial Arts of Shaolin) (1986),action nan  
Snowmageddon (2011),adventure fantasy disaster film globe christmas snow  
Stand Up and Fight (1939),drama romance western nan  
Barbara (2012),drama woman wears a bra woman wears lingerie character name as title forename as title  
"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A (2012)",animation comedy cricket the sport cutout animation cartoon reality crossover memory  
Little Miss Broadway (1938),drama musical nan  
Miss Annie Rooney (1942),drama nan  
Mr. Belvedere Goes to College (1949),comedy nan  
"Hobbit: An Unexpected Journey, The (2012)",adventure fantasy imax wizard dragon dwarf hobbit  
Mon Paradis - Der Winterpalast (2001),documentary saint petersburg russia f rated reference to william shakespeare  
I am Von Höfler (Variation on Werther - Private Hungary 15) (2008),documentary narration letter piano player  
"Master, The (Huang Fei Hong jiu er zhi long xing tian xia) (1992)",action nan  
"Evil Cult, The (Lord of the Wu Tang) (Yi tian tu long ji: Zhi mo jiao jiao zhu) (1993)",action fantasy Action  
"Fitzgerald Family Christmas, The (2012)",drama estranged father christmas family reunion dysfunctional family  
Hyde Park on Hudson (2012),comedy drama king of england polio eleanor roosevelt character franklin d. roosevelt character  
Lay the Favorite (2012),comedy panties white panties gambler waitress  
Audition (Konkurs) (1964),documentary nan  
All's Faire in Love (2009),comedy renaissance class divisions peasant vanity  
Crooked Arrows (2012),drama tournament team lacrosse native american  
"Enforcer, The (Gei ba ba de xin) (1995)",action undercover brutality bullet ballet combat  
Dr. Wai in the Scriptures with No Words (Mao xian wang) (1996),action nan  
Once Upon a Time in China and America (Wong Fei Hung: Chi sai wik hung see) (1997) ,action adventure western spaghetti western martial arts bar shootout street shootout  
Hitman (Contract Killer) (Sat sau ji wong) (1998),action comedy hitman blood stabbing blood splatter  
Never Say... Never! (Il ne faut jurer... de rien!) (2005),comedy paris france  
"Cool, Calm and Collected (Calmos) (1976)",comedy nan  
"After Fall, Winter (2011)",drama female nudity topless female nudity girl leukemia  
Violeta Went to Heaven (Violeta se fue a los cielos) (2011),drama chilean music male frontal nudity male nudity male rear nudity  
Rebellion (L'ordre et la morale) (2011),action drama 1980s hostage french colony kanak  
Versailles (2008),drama city name in title place name in title  
Two in the Wave (2010),documentary godard truffaut french cinema cinema history  
Lotte Reiniger: Homage to the Inventor of the Silhouette Film (2001),documentary animator world war two widow theatre  
"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World' (2005)",documentary nan  
Yossi (Ha-Sippur Shel Yossi) (2012),drama romance male nudity male frontal nudity undressing nudity  
"All Blossoms Again: Pedro Costa, Director (Tout refleurit: Pedro Costa, cinéaste) (2006)",documentary nan  
"Last Rites of Joe May, The (2011)",drama hustler father figure pneumonia father son relationship  
"Prodigal, The (1955)",drama nan  
"Eleventh Hour, The (2008)",action thriller character says i love you fight character repeating someone else's dialogue subjective camera  
Barfi! (2012),comedy drama romance hill station autism character name in title love  
Federico Fellini's Autobiography (Federico Fellini - un autoritratto ritrovato) (2000),documentary nan  
Zero Dark Thirty (2012),action drama thriller al qaeda cia terrorist special forces  
Neighbouring Sounds (O som ao redor) (2012),drama thriller recife brazil condominium howling dog maid  
Chasing Ice (2012),documentary climate change ice arctic camera  
Antiviral (2012),horror sci-fi thriller looking at oneself in a mirror buddhist celebrity death bleeding mouth  
"Arrival of a Train, The (1896)",documentary nan  
Arsène Lupin (2004),action adventure crime mystery romance coup d'etat treasure hunt master of disguise kickboxing  
"Three Brothers, The (Les trois frères) (1995)",comedy boy frontal nudity reference to super nintendo money half brother  
Ghost Machine (2009),action sci-fi thriller supernatural power psychotronic film trapped in virtual reality reference to virtual reality  
Freeloaders (2011),comedy woman in underwear porn shoot illegal immigrant cockfighting  
"Immortal Story, The (Histoire immortelle) (1968)",drama nan  
Filming 'Othello' (1978),documentary nan  
Warm Bodies (2013),comedy horror romance zombie teenager memory undead  
Let Fury Have the Hour (2012),documentary artist 1980s art five word title  
Asylum Blackout (2011),horror thriller washington state inmate kitchen cook  
Fresh Bait (L'appât) (1995) ,crime drama victim topless female nudity female nudity greed  
Frenchmen (Le coeur des hommes) (2003),comedy romance 2000s paris france adulterous husband adultery  
Wrong (2012),comedy drama surrealism absurdism dognapping dog  
Young & Wild (Joven y alocada) (2012),drama female nudity male frontal nudity sex bare chested male  
Trishna (2011),drama woman character name as title bare chested male bare foot man  
Aftershock (Tangshan dadizhen) (2010),drama imax year 1976 1970s july summer  
Chained (2012),horror thriller serial killer isolated house traumatic childhood experience childhood trauma  
"Goodbye Girl, The (2004)",comedy romance dancer love dancing undressing  
"Ring Finger, The (L'annulaire) (2005)",drama preservation title directed by female f rated obsession  
"Count Yorga, Vampire (1970)",drama horror romance nan  
"Comedy, The (2012)",drama nan  
7 Khoon Maaf (2011),drama mystery thriller marriage confession arson doctor  
"Red Shoes, The (Bunhongsin) (2005)",drama horror mystery shoes curse subway jealousy  
Bluebeard (1972),thriller nan  
Our Little Girl (1935),comedy drama romance nan  
Playing for Keeps (2012),comedy romance soccer soccer team soccer coach soccer mom  
Poor Little Rich Girl (1936),adventure musical romance nan  
"Guilt Trip, The (2012)",comedy mother son relationship usa united states trip  
"Girl on a Motorcycle, The (1968)",drama romance nan  
Save the Date (2012),comedy romance wedding sketch camera shot of bare feet two on a motorcycle  
Jack Reacher (2012),action crime thriller pittsburgh pennsylvania sniper coma quarry  
Django Unchained (2012),action drama western racial vengeance racial violence historically inaccurate sadism  
This Is 40 (2012),drama 40th birthday gynecological exam sex fellatio  
I Bought a Vampire Motorcycle (1990),comedy horror nan  
Willard (1971),horror nan  
"Public Woman, The (Femme publique, La) (1984)",drama nan  
Cirque du Soleil: Worlds Away (2012),fantasy imax cirque du soleil aerialist clown circus  
"Impossible, The (Imposible, Lo) (2012)",drama thriller disaster film disaster tidal wave 2004 indian ocean earthquake and tsunami  
"Misérables, Les (2012)",drama musical romance imax rebellion france orphan parole  
"Gestapo's Last Orgy, The (L'ultima orgia del III Reich) (1977)",thriller war nan  
Mamitas (2011),drama counselor los angeles california friendship latin american  
"Bobo, The (1967)",comedy nan  
Struck by Lightning (2012),comedy drama narration from the grave chin up blackmail high school  
Spring Break Shark Attack (2005),adventure drama horror florida spring break shark boat  
Campfire Tales (1997),horror psychotronic film ghost car accident motorcycle  
Seven Ways from Sundown (1960),action adventure western nan  
Not Fade Away (2012),drama christmas present christmas tree mental hospital involuntary commitment  
Quartet (2012),comedy drama reference to giuseppe verdi retirement opera senility  
Silent Night (2012),horror porn shoot pornographer christmas horror masked killer  
"Coluche, l'histoire d'un mec (2008)",drama clown election 1980s french politics  
"Parasites, Les (1999)",comedy pvc  
"Reluctant Dragon, The (1941)",animation comedy nan  
"Marine Story, A (2010)",drama bar boot camp iraq marine  
Malibu High (1979),comedy crime nan  
Who Wants to Kill Jessie? (Kdo chce zabít Jessii?) (1966),comedy sci-fi cult film dream scientist cowboy  
Jerusalem Countdown (2011),thriller christian propaganda nuclear weapon fbi agent prayer  
Stand Up and Cheer! (1934),comedy musical nan  
Stowaway (1936),adventure musical nan  
Susannah of the Mounties (1939),drama nan  
11 Flowers (Wo 11) (2011),drama wading bloodstain flower gunshot  
Quatre garçons pleins d'avenir (1997),comedy nan  
In Your Dreams (Dans tes rêves) (2005),drama female nudity topless female nudity  
"Willow Tree, The (Beed-e majnoon) (2005)",drama older man younger woman relationship religious propaganda iranian iran  
Kumaré (2011),documentary overhead camera shot cell phone cutting one's hair guru  
Lady Oscar (1979),drama nan  
That Hagen Girl (1947),drama nan  
"Eye of the Storm, The (2011)",drama controlling mother manipulator matriarch pretentiousness  
976-EVIL II (1992),horror telephone booth telephone call satanism demon  
Foreign Intrigue (1956),thriller nan  
Harem suare (1999),drama female full frontal nudity lesbian female frontal nudity female rear nudity  
Electile Dysfunction (2008),documentary politics  
"Glenn, the Flying Robot (2010)",sci-fi nan  
Slipstream (1989),adventure sci-fi nan  
"Woodmans, The (2010)",documentary art female nudity suicide attempted suicide  
Move (3 Zimmer/Küche/Bad) (2012),comedy drama sex scene topless female nudity female nudity removal  
Holiday in Handcuffs (2007),comedy romance gun skunk blindfold waitress  
Camp Rock 2: The Final Jam (2010),comedy musical romance romeo and juliet disney channel original movie second part sequel  
StreetDance 3D (2010),drama romance 3 dimensional hot body hard body pretty legs  
"New Barbarians, The (I nuovi barbari) (1983)",action sci-fi thriller western nan  
How to Stop Being a Loser (2011),comedy nan  
Transfer (2010),drama sci-fi nan  
Time of Roses (Ruusujen aika) (1969),sci-fi model strike democracy stripper  
Lipton Cockton in the Shadows of Sodoma (1995),drama mystery sci-fi year 2037 private detective male nudity reference to marilyn monroe  
"Midsummer Night's Party, A (Midsummer of Love, A) (Sommaren med Göran) (2009)",comedy summer midsummer archipelago sailing boat  
Alois Nebel (2011),animation crime war neo noir year 1989 czechoslovakia 1980s  
Juan of the Dead (Juan de los Muertos) (2011),comedy horror zombie apocalypse dark comedy political comedy written by director  
Parental Guidance (2012),comedy misbehavior grandfather granddaughter relationship fired grandfather grandson relationship  
Sexy Baby (2012),documentary 22 year old 12 year old labiaplasty 14 year old  
Snow on Tha Bluff (2011),crime drama nan  
John Dies at the End (2012),comedy fantasy horror multiple dimensions male friendship cult film mind altering drug  
Vidal Sassoon: The Movie (2010),documentary movie in title  
Born to Be Wild (2011),documentary imax conservation 3d rescue raise  
Blonde Ice (1948),film-noir nan  
Ultrasuede: In Search of Halston (2010),documentary fashion designer designer interview couture  
Wish Me Away (2011),documentary country music singer coming out three word title  
"Central Park Five, The (2012)",documentary agitprop reference to the central park five reference to linda fairstein american history  
"Collection, The (2012)",action horror thriller mercenary booby trap trap serial killer  
FDR: American Badass! (2012),action comedy president wheelchair werewolf polio  
All Superheros Must Die (2011),thriller non comic book superhero game of death kidnapping arch villain  
Jean Renoir: Part One - From La Belle Époque to World War II (1993),documentary nan  
Girl Walk: All Day (2011),musical no dialogue happiness dancing  
"Acacias, Las (2011)",drama buenos aires argentina argentina paraguay truck driver  
Just Ask My Children (2001),drama jail abuse custody child abuse  
Never Too Young to Die (1986),action adventure drama nan  
"Remember the Daze (Beautiful Ordinary, The) (2007)",comedy drama vandalism teen movie one night bully  
Yesterday's Enemy (1959),drama war nan  
Young People (1940),drama nan  
Henry (2010),comedy nan  
"Incruste, L' (a.k.a. L'Incruste, fallait pas le laisser entrer!) (2004)",comedy nan  
"Villain, The (Le Vilain) (2009)",comedy f rated  
Soldiers of Fortune (2012),action adventure military what happened to epilogue bridge fireworks  
Rurouni Kenshin (Rurôni Kenshin: Meiji kenkaku roman tan) (2012),action drama bangs pretty woman live action remake of anime tokyo japan  
Extracted (2012),drama sci-fi bumming a cigarette murder scientist memory  
Stevie (2008),drama horror nan  
Mansome (2012),documentary brooklyn new york city metrosexual facial plaster cast  
"Misérables, Les (1958)",drama nan  
"Misérables, Les (1952)",drama romance nan  
"Big Street, The (1942)",drama romance nan  
"True Meaning of Christmas Specials, The (2002)",comedy nan  
Kenji Mizoguchi: The Life of a Film Director (Aru eiga-kantoku no shogai) (1975),documentary nan  
Promised Land (2012),drama propaganda salesman corporation small town  
Neo Ned (2005),drama romance abandoned building cheating on girlfriend mother daughter relationship grocery shopping  
Offender (2012),crime thriller teenage boy male nudity man hits a woman barefoot male  
Sun Wind (Aurinkotuuli) (1980),drama sci-fi drunkenness flashback past identity  
Confessions of a Window Cleaner (1974),comedy nan  
"Man Who Haunted Himself, The (1970)",drama fantasy horror mystery thriller nan  
Dakota Skye (2008),drama romance character name as title two word title lie rock band  
Immaculate Conception of Little Dizzle (2009),comedy hare krishna pregnant man pregnancy  
Confessions of a Pop Performer (1975),comedy nan  
Private Romeo (2011),drama romantic obsession shakespeare in modern dress male in a shower male wears underwear  
Role/Play (2010),drama male full frontal nudity pubic hair male pubic hair activist  
"Sweeney, The (2012)",action crime sex scene bank flying squad internal affairs  
English Vinglish (2012),comedy drama gay passing an exam exam title directed by female  
Fish Story (Fisshu sutôrî) (2009),comedy band man smoking shorthaired woman japanese teenager  
Comedy Central Roast of Bob Saget (2008),comedy tv special joke stand up comedian stand up comedy  
Tiny Toon Adventures: How I Spent My Vacation (1992),adventure animation comedy superman character spoof vacation water  
Trapped in the Closet: Chapters 1-12 (2005),drama musical rhythm and blues extramarital affair police officer pie  
"Sea of Grass, The (1947)",drama western nan  
"Visitors, The (1972)",crime drama thriller nan  
L'homme qui rit (2012),drama fantasy romance suicide letter palace queen  
Excuse Me for Living (2012),comedy romance psychiatrist men's group support group father son relationship  
Aftermath (1994),horror avant garde sexploitation exploitation risque  
Fragments of an Alms-Film (Fragmentos de um Filme-Esmola: A Sagrada Família) (1972),comedy nan  
Manuel on the Island of Wonders (Manoel dans l'île des merveilles) (1984),drama nan  
Eat Sleep Die (Äta sova dö) (2012),drama sweden immigrant three word title looking for work  
Dr. Bronner's Magic Soapbox (2006),documentary nan  
"Dark Truth, A (Truth, The) (2012)",drama thriller central intelligence agency south america cover up cia  
"Conversation with Gregory Peck, A (1999)",documentary title directed by female film clip new york city new york storytelling  
Odette Toulemonde (2006),comedy drama writer widow hairdresser fantasy sequence  
Pusher (2012),crime drama strip club interrupted sex female rear nudity sex standing up  
Lucy (2003),comedy drama character name as title nickname as title lucille ball character desi arnaz character  
"Hollywood Complex, The (2011)",documentary nan  
"Shunning, The (2011)",drama baby lancaster county amish sheet music  
She Had to Say Yes (1933),drama nan  
Texas Chainsaw 3D (2013),horror mystery thriller woman wearing only a man's shirt cleavage scantily clad female topless female nudity  
K-11 (2012),crime drama transsexual prison life genitals violence  
Ex-Girlfriends (2012),comedy drama new york city  
Gangster Squad (2013),action crime drama police vigilantism year 1949 smoking after sex interrogation  
Dabangg 2 (2012),action comedy drama musical romance police officer husband wife relationship fistfight action hero  
"Marsh, The (2006)",horror thriller cell phone windchime window blown open watching tv  
Road to Redemption (2001),comedy drama thug on the road religious conversion prayer  
"Climb, The (2002)",action adventure drama computer pc friendship african american  
"Warrior and the Sorceress, The (1984)",action adventure fantasy sci-fi nan  
"Company You Keep, The (2012)",thriller surveillance 1st amendment reference to the march on washington new york city new york  
"Trouble with Bliss, The (2011)",comedy drama panties girl in panties thong panties new york  
"Samaritan, The (2012)",drama thriller woman father daughter relationship released from prison weapon  
"Iceman, The (2012)",crime drama thriller serial murderer based on true story contract killer murder of a girl  
T.N.T. (1997),action special ops gunfight police shootout hand to hand combat  
Secrets of the Tribe (2010),documentary ethics anthropologist anthropology yanomami tribe  
It's Such a Beautiful Day (2012),animation comedy drama fantasy sci-fi stick figure experimental mental health narration  
Kiss the Bride (2007),comedy romance gay man kisses a woman woman kisses a gay man best friend wedding  
"Haunted House, A (2013)",comedy horror parody priest spoof psychic  
Painted Lady (1997),crime drama thriller art art dealer painting auction  
Whores' Glory (2011),documentary unsimulated sex penetration scene leg spreading female frontal nudity  
Somewhere in Palilula (Undeva la Palilula) (2012),drama nan  
Planet of Snail (2011),documentary drama playwright disabled  
"Waiting Room, The (2012)",documentary waiting room webisode social media health care  
Beware of Mr. Baker (2012),documentary rock music jazz reference to nirvana eccentric  
Alphabet City (1984),crime drama thriller nan  
Pokémon the Movie: Black - Victini and Reshiram (2011),animation narrator village ice sledding  
Pokémon the Movie: White - Victini and Zekrom (2011),animation narrator desert stampede tornado  
Cleanflix (2009),crime documentary hollywood editing values violence  
Paul Williams Still Alive (2011),comedy documentary musical songwriter has been four word title name in title  
Sister (L'enfant d'en haut) (2012),crime drama ski stealing title directed by female boy  
Mea Maxima Culpa: Silence in the House of God (2012),documentary vatican church catholic church catholic  
Everything or Nothing: The Untold Story of 007 (2012),documentary film series spy espionage spy hero  
Grayeagle  (1977),adventure drama romance western nan  
Codependent Lesbian Space Alien Seeks Same (2011),comedy romance sci-fi outer space agent lesbian f rated  
"World's Greatest Athlete, The (1973)",comedy romance nan  
Cargo (2011),drama thriller egyptian mattress tied up foreign language  
Diana Vreeland: The Eye Has to Travel (2011),documentary red archival footage some scenes in black and white interview  
Sangre de mi sangre (Padre Nuestro) (2007),drama thriller human smuggling boy brooklyn new york city mexican  
Milarepa (2006),action adventure drama tibet saint magician based on true story  
O Panishyros Megistanas Ton Ninja (2008),action comedy sci-fi Action  
Morgan Pålsson - världsreporter (2008),action comedy journalist coup d'etat cameraman fired from the job  
Renoir (2012),drama romance based on real events famous painting female full frontal nudity oil paint  
"Last Stand, The (2013)",action crime thriller modern western deputy sheriff small town  
Mama (2013),horror mother daughter relationship supernatural horror haunted house cabin in the woods  
"Candidate, The (Kandidaten) (2008)",thriller female nudity breast hood over head hands tied behind back  
Upstream Color (2013),romance sci-fi thriller underwater scene blue orchid psychological thriller very little dialogue  
Fast Life (1932),comedy romance nan  
Careless Love (2012),drama male rear nudity male nudity male pubic hair pubic hair  
Special When Lit  (2009),documentary pinball icon  
Preston Sturges: The Rise and Fall of an American Dreamer (1990),documentary writer screenwriter hollywood film history  
Double Indemnity (1973),crime drama thriller nan  
London After Midnight (2002),drama horror nan  
Broken City (2013),crime drama thriller father son relationship fellatio title spoken by character gay slur  
Nursery University (2008),documentary nursery school school director toddler  
"Counterfeit Coin, The (Istoria mias kalpikis liras) (1955)",comedy drama film-noir romance counterfeiting 1950s 50s greece  
Nameless Gangster (Bumchoiwaui junjaeng) (2012),crime thriller crime investigation police officer organized crime south korea  
Ginger & Rosa (2012),drama cuban missile crisis friendship marital problem dysfunctional family  
First Shot (2002),action u.s. president die hard scenario gunfight shootout  
Marina Abramovic: The Artist Is Present (2012),documentary nan  
Bonsái (2011),drama writer love male rear nudity male frontal nudity  
Shadow Dancer (2012),crime drama thriller year 1993 the troubles year 1973 ira  
It's a Disaster (2012),comedy drama filipino telemarketer superstition xian tattooed trash  
Texas Across the River (1966),comedy western nan  
Up in Smoke (1957),comedy nan  
"Flaw, The (2011)",documentary wall street capitalism foreclosure economic crisis  
Chicago Massacre: Richard Speck (2007),crime drama thriller disturbed person man wears eyeglasses psycho murderer tragic event  
Keep the Lights On (2012),drama gay love interracial relationship male prostitute gay hustler  
Beauty Is Embarrassing (2012),documentary driving cross country painting artist landscape painting  
Girl Model (2011),documentary language barrier modeling agency teenage girl contract  
Crossfire Hurricane (2012),documentary musical hare krishna the rolling stones bass guitar bassist  
Middle of Nowhere (2012),drama romance prison  
True Blue (2001) ,crime drama thriller train station houseboat barbecue asian american  
"Guns of Fort Petticoat, The (1957)",war western nan  
Human Planet (2011),documentary nature peril primitive survival  
Madagascar (2011),documentary madagascar  
Omar Killed Me (Omar m'a tuer) (2011),crime drama france prison journalist controversy  
Red Hook Summer (2012),drama three word title season in title place name in title color in title  
Stella Maris (1918),drama nan  
Die (2010),thriller suicide millionaire game cell  
Patrice O'Neal: Elephant in the Room (2011),comedy stand up stand up comedian stand up comedy  
Sunny (Sseo-ni) (2011),drama high school plastic surgery hospital private detective  
My Way (Mai Wei) (2011),action drama war year 1944 dead soldier 1940s korea  
Punching the Clown (2009),comedy nan  
Metsän tarina (2012),documentary finnish mythology wilderness nature documentary mythology  
Choose (2010),crime drama horror killer  
Made in Hong Kong (Xiang Gang zhi zao) (1997),crime drama romance written by director place name in title year 1996 masturbation  
Creature from Black Lake (1976) ,drama horror mystery nan  
Bad Luck (Zezowate szczescie) (1960),comedy nan  
Movie 43 (2013),comedy female frontal nudity bare breasts upskirt bikini girl  
Night of the Demons 2 (1994),horror old dark house demoness halloween party monster  
Hitler's Madman (1943),drama war nan  
Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe (2007) ,documentary nudity male frontal nudity metropolitan museum of art new york city  
Pictures of the Old World (Obrazy starého sveta) (1972),documentary nan  
Jean Gentil (2010),drama teacher haitian job seeking  
Day and Night (Le jour et la nuit) (1997),drama female nudity spanking female full frontal nudity female rear nudity  
"Pervert's Guide to Ideology, The (2012)",documentary title directed by female philosopher ideology reference to jacques lacan  
Parker (2013),crime thriller action hero thief heist based on novel  
We the Party (2012),comedy teen movie friend prom facebook  
"Simple Life, A (Tao jie) (2011)",drama old people's home stroke urban setting cameo appearance  
"End of Love, The (2012)",drama single mother car accident high drunk  
Palms (Ladoni) (1994),documentary nan  
"Color Wheel, The (2011)",comedy romance brother sister incest sex with brother sex with sister  
"Green Wave, The (2010)",documentary nan  
Gayby (2012),comedy drama male objectification prissiness wanting to have a child male wears underwear  
Sightseers (2012),comedy tourism caravan satire jealousy  
Oppai Volleyball (Oppai barê) (2009),comedy unfulfilled promise tennis skirt eye candy using sex appeal as motivator  
Hansel & Gretel: Witch Hunters (2013),action fantasy horror imax brother sister team brother sister relationship female rear nudity witch  
Murder by Proxy: How America Went Postal (2010),documentary murder suicide school violence bullying  
After Porn Ends (2010),documentary porn industry growing up female nudity sexuality  
"Angélique, marquise des anges (1964)",adventure romance nan  
Stonehenge Apocalypse (2010),sci-fi disaster film stonehenge scientist ancient  
"Last Godfather, The (2010)",comedy gangster gang war gunfight torture  
Portrait of Wally (2012),documentary jewish artist  
Starlet (2012),drama unsimulated sex cunnilingus fellatio intergenerational friendship  
Jim Jefferies: Fully Functional (EPIX) (2012),comedy stand up special tv special  
Tom Petty and the Heartbreakers: Runnin' Down a Dream (2007),documentary musical hare krishna rock star rock music rock concert  
"Ah of Life, The (2010)",drama romance sci-fi nan  
Churchill: The Hollywood Years (2004),comedy war franklin d. roosevelt character hermann goering character adolf hitler character tony blair character  
Sundome (2007),comedy drama romance white panties sexy legs sexiness schoolgirl uniform  
Godzilla vs. Gigan (Chikyû kogeki meirei: Gojira tai Gaigan) (1972),action adventure horror nan  
"Wild Horse, Wild Ride (2011)",documentary western nan  
"Psychopath, The (1966)",horror mystery nan  
"Not with My Wife, You Don't! (1966)",comedy drama nan  
"Big Picture, The (L'homme qui voulait vivre sa vie) (2010)",drama starting a new life from scratch fleeing the country based on novel former yugoslavia  
"Woman's Face, A (En kvinnas ansikte) (1938) ",drama nan  
"East, The (2013)",drama hypodermic needle hippie ecoterrorism terrorist  
Pretty Sweet (2012),documentary chocolate girl hd  
Lo (2009),comedy horror romance demon girlfriend love rescue  
"House of Seven Corpses, The (1974)",horror nan  
Karlsson Brothers (Bröderna Karlsson) (2010),comedy drama nudity male nudity male rear nudity male frontal nudity  
Confessions of a Driving Instructor (1976),comedy nan  
Confessions from a Holiday Camp (1977),comedy nan  
Kilometre Zero (Kilomètre zéro) (2005),drama war iraq iran war kurd kurdistan iraq  
Paziraie Sadeh (2012),drama nan  
Love Loves Coincidences (2011),drama romance tragedy childhood hospital love  
Snow White (Blancanieves) (2012),drama grande dame guignol playing accordion seville spain matador  
Return (2011),drama infidelity cheating wife tickling a woman depression  
Tabu (2012),drama romance post punk cigar smoking africa neighbor  
Head Games (2012),documentary football football player concussion head injury  
"Pink Ribbons, Inc. (2011)",documentary breast cancer f rated three word title punctuation in title  
Ballplayer: Pelotero (2011),documentary drama baseball caribbean sea dominican republic baseball player  
Désiré (1992),comedy nan  
Upside Down (2012),drama romance sci-fi gravity childhood amnesia 3 dimensional  
"Liability, The (2012)",action thriller woman with a gun rape pistol professional killer  
Pressure Point (1962),drama nan  
2 Become 1 (Tin sun yut dui) (2006),comedy drama romance breast cancer doctor f rated drunkenness  
"Baytown Outlaws, The (2012)",action comedy crime shooting a woman stabbing a woman woman with a gun car chase  
LUV (2012),drama boy uncle nephew relationship family relationships african american  
